n_subj	errors	answer_length	number_shift	number_del	number_canc	number_space	number_arrow	prompted-firstdigit	Prompted-firstdigit_adjusted_GULPEASE	firstdigit-enter	prompted-enter	writing_time	time_key_before_enter_down	time_key_before_enter_flight	filtered_series_di_both_max	filtered_series_di_both_min	filtered_series_di_both_median	filtered_series_di_both_std	filtered_series_di_both_var	filtered_series_di_both_mean	filtered_series_di_up_max	filtered_series_di_up_min	filtered_series_di_up_median	filtered_series_di_up_std	filtered_series_di_up_var	filtered_series_di_up_mean	filtered_series_di_down_max	filtered_series_di_down_min	filtered_series_di_down_median	filtered_series_di_down_std	filtered_series_di_down_var	filtered_series_di_down_mean	filtered_series_di_flight_max	filtered_series_di_flight_min	filtered_series_di_flight_median	filtered_series_di_flight_std	filtered_series_di_flight_var	filtered_series_di_flight_mean	filtered_series_di_press_max	filtered_series_di_press_min	filtered_series_di_press_median	filtered_series_di_press_std	filtered_series_di_press_var	filtered_series_di_press_mean	filtered_series_tri_both_max	filtered_series_tri_both_min	filtered_series_tri_both_median	filtered_series_tri_both_std	filtered_series_tri_both_var	filtered_series_tri_both_mean	filtered_series_tri_up_max	filtered_series_tri_up_min	filtered_series_tri_up_median	filtered_series_tri_up_std	filtered_series_tri_up_var	filtered_series_tri_up_mean	filtered_series_tri_down_max	filtered_series_tri_down_min	filtered_series_tri_down_median	filtered_series_tri_down_std	filtered_series_tri_down_var	filtered_series_tri_down_mean	mind_condition
1	0.0000	10.2778	1.0000	0.7778	0.0000	0.5000	0.3889	1699.7222	1649.5683	3123.3889	4823.1111	280.6111	462.1111	369.9444	350.2222	16.7222	85.2500	70.7384	6045.3447	95.2672	439.4444	79.7778	167.3611	108.6650	14459.7788	190.5610	441.8333	86.7222	165.4167	105.5806	493708.7568	55767.1257	352.5000	23.8333	88.3611	101.8113	12446.6650	7757.3237	113.7222	72.8889	92.4722	12.9221	177.5777	91.7769	531.0556	135.1111	246.5833	117.1769	16613.3784	14494.3621	623.1111	239.1667	335.8333	134.1163	25068.7084	376.1551	625.4444	242.7778	334.9444	134.1693	25039.3422	375.7146	0
2	0.0000	10.1111	1.3889	0.2778	0.0000	0.2222	0.0000	1811.8889	1766.4994	3611.7222	5423.6111	398.2778	1118.5000	1024.0556	334.2222	20.6667	80.0833	73.0423	7878.0251	95.8090	425.5556	75.6667	173.5000	111.6502	17986.3060	193.3978	420.4444	96.7222	161.3889	106.4033	17005.5263	190.9062	342.3889	27.7222	98.5000	105.8965	16640.5220	127.2706	125.3333	63.8333	85.8056	21.5505	550.9792	90.2120	499.9444	150.5000	235.6389	111.8699	18237.6721	262.6242	602.6667	229.9444	351.6944	142.7144	31525.2053	387.3384	595.9444	242.6111	340.6389	135.6908	29699.5978	382.3207	0
3	0.0000	9.6111	0.0000	0.3889	0.0000	0.1667	0.0000	2419.1111	2279.6978	3016.3889	5435.5000	302.2222	756.7778	648.1111	399.8889	10.8889	85.3333	85.8979	12754.4646	96.5806	506.8333	72.0000	155.8611	135.5644	29255.5372	191.9488	499.2778	84.7778	152.0278	129.6271	28971.0358	190.9875	443.0000	19.9444	87.1111	137.4380	29666.0236	130.0784	129.6111	77.0556	101.8056	19.1521	404.6626	102.0745	556.3333	138.7222	231.5556	127.0244	28602.4597	260.0675	703.7778	227.2222	324.8889	165.9014	51462.0786	378.4813	701.6111	237.6667	318.5556	161.8229	50279.0425	376.6742	0
4	0.2222	8.5000	0.0000	0.1111	0.0000	0.1111	0.0000	6509.3333	6228.8733	3256.2778	9765.6111	413.5000	1189.1111	1117.8333	351.1667	48.3889	82.2778	79.8516	8882.2637	111.3321	430.6667	130.0000	201.0556	106.3046	16281.4184	228.4405	435.6111	129.0556	202.7778	104.5159	15568.5694	228.6697	351.1667	63.1111	128.5833	103.6737	15811.9397	155.2259	94.8333	62.5556	76.5556	10.8393	129.6541	76.8838	515.1667	210.8889	278.3611	106.5334	15558.7635	304.8822	681.6111	320.7222	434.3611	134.7654	30721.8703	465.2594	683.1111	329.2778	439.5000	135.3127	30804.8884	466.1744	1
5	0.2222	7.5000	0.0000	1.4444	0.0000	0.0556	0.0000	4773.3889	4501.8067	5073.5000	9846.8889	679.4444	1076.3333	1005.2222	415.1111	20.5556	79.8889	93.1403	14403.1859	106.5584	495.1667	90.1111	169.1667	132.0509	27706.9608	216.3653	491.4444	102.5556	176.8056	126.4746	26417.3163	220.0079	415.1111	32.5000	95.4722	131.6851	29091.4958	147.1192	98.8889	62.6111	80.7778	11.9989	156.0786	80.4166	572.3333	163.8333	252.7500	128.1016	25761.0427	291.8504	690.7222	219.4444	438.5000	170.0189	44993.1473	445.9219	687.1111	238.3333	443.8056	162.0262	42732.4916	449.7068	1
6	0.2778	8.5000	0.9444	0.4444	0.0000	0.1111	0.0000	6696.5000	6168.7206	4858.1667	11554.6667	512.2778	950.9444	854.7222	783.3333	41.7222	98.3333	163.2982	54716.7119	160.4037	923.1111	137.9444	305.1667	228.5351	138789.9866	339.6008	873.1667	134.6111	302.3611	209.3321	92130.0370	325.7944	828.5556	46.8889	269.1667	325.3446	557916.9312	387.1675	120.1111	74.8889	92.2500	14.8282	238.6628	94.3753	790.0000	233.6667	398.8611	183.9869	54737.8061	419.7126	1234.6667	447.8889	632.9722	259.9094	236902.4910	703.9768	1192.1667	442.2222	619.4444	241.5071	165590.3475	671.2995	1
7	0.2222	7.4444	0.0000	1.3889	0.0000	0.1111	0.0000	5346.2222	5173.0639	6806.4444	12152.6667	943.0000	1705.6667	1597.2222	300.2222	18.1667	92.2500	72.3497	8821.4033	100.8262	425.1667	69.7778	171.0278	120.7493	26137.9781	193.0644	403.6111	95.9444	166.6944	111.3116	22048.9081	195.0296	335.6111	37.7222	103.8056	111.3655	29174.4937	140.8839	169.9444	90.1667	120.9722	32.2135	1327.4079	125.1734	501.0556	149.4444	248.0278	125.7609	24092.2341	274.8447	615.3333	234.7222	358.4444	155.2014	46616.1623	386.5926	610.3333	247.1667	364.2222	151.4711	44228.2816	388.9096	1
8	0.0000	7.7778	0.0000	0.0556	0.0000	0.1111	0.0000	1846.1111	1785.9347	2185.0000	4031.1111	281.2222	674.6111	558.2778	313.9444	16.8333	93.7500	75.6782	9758.5912	101.8794	417.6111	81.8889	183.1389	118.5808	21635.6743	201.8354	422.0000	85.1111	170.5833	120.8013	22990.1108	199.9692	343.7222	36.4444	116.8056	121.7618	24726.5115	143.5716	139.3333	87.6111	108.4167	19.6037	447.3784	110.0128	469.7778	130.3889	247.2222	119.9027	21247.7916	263.7989	593.7778	271.0556	390.0556	125.8209	26543.9975	408.8720	584.6111	259.8889	386.4722	127.5356	27900.6768	405.8469	0
9	0.1111	8.9444	0.0556	0.3333	0.0000	0.2222	0.0000	6204.5556	5644.9939	4096.0556	10300.6111	436.6111	1132.8889	1011.2778	742.4444	53.2222	117.4444	178.5914	55635.7117	170.2870	877.1111	153.9444	260.7778	260.5728	121358.7713	350.8767	858.5556	150.0000	266.9444	254.8558	113897.3508	348.9158	765.3889	65.0556	168.8056	269.5000	151525.2153	279.0660	164.9444	79.2778	105.4444	28.7235	949.9544	111.6987	852.8889	244.2778	364.8611	209.4434	63058.8602	428.9193	1148.2778	381.9444	602.0833	313.8961	174856.8469	676.8198	1140.5556	377.3333	618.8333	314.8245	167840.3366	676.4573	1
10	0.0000	9.1111	0.0000	0.6667	0.0000	0.3333	0.0000	2503.9444	2388.4839	3062.8889	5566.8333	360.3333	1057.2778	964.3333	323.0000	16.6667	81.1667	72.2695	6954.2337	94.7899	417.9444	78.0556	168.8611	111.7125	16199.0472	190.6697	418.0556	82.3889	160.7500	112.9427	16280.4094	189.8776	342.2222	18.9444	107.7778	117.8641	20588.1611	137.1670	115.5556	69.5556	88.3889	16.8183	313.3149	90.2380	430.8889	131.6667	233.3333	103.2368	12632.3117	250.4811	605.3333	248.3889	374.8056	128.4996	23246.5100	400.7913	599.7222	246.7778	375.0833	127.1631	22841.5084	399.0355	0
