@relation 'ML Training data - 40 subjects'

@attribute errors numeric
@attribute 'Prompted-firstdigit adjusted GULPEASE' numeric
@attribute firstdigit-enter numeric
@attribute 'writing time' numeric
@attribute time_key_before_enter_down numeric
@attribute mind_condition {True,False}

@data
0,1649.5683,3123.3889,280.6111,462.1111,True
0,1766.4994,3611.7222,398.2778,1118.5,True
0,2279.6978,3016.3889,302.2222,756.7778,True
0.2222,6228.8733,3256.2778,413.5,1189.1111,False
0.2222,4501.8067,5073.5,679.4444,1076.3333,False
0.2778,6168.7206,4858.1667,512.2778,950.9444,False
0.2222,5173.0639,6806.4444,943,1705.6667,False
0,1785.9347,2185,281.2222,674.6111,True
0.1111,5644.9939,4096.0556,436.6111,1132.8889,False
0,2388.4839,3062.8889,360.3333,1057.2778,True
0.2778,4398.1989,6264.5,712.0556,3685,False
0,3925.8144,3074.2222,325.3333,715.5,True
0.2778,8309.5167,5879.5556,888.0556,2501.2778,False
0.2778,3626.6178,3301.7222,419.3889,1001.5,False
0.0556,6002.8111,5170.1667,480.9444,1162.1667,False
0,1946.1433,3441.0556,423.2778,1375.0556,True
0,1915.9356,2764.6111,306.6667,671.1667,True
0,2176.1139,3401.8333,325.5556,925.6667,True
0.0556,4815.8867,5065.8333,562.6667,1823.3889,True
0.2778,5578.4011,3587.5,473.8333,1814.1667,False
0.0556,8069.3667,11053.7778,520.5,1339.7778,False
0,1606.9133,4037.1111,293.2222,681.4444,True
0,2417.4256,3717,464.3333,626.7222,True
0.3333,2621.0233,2405.1111,249.5556,486.3889,False
0.0556,2914.9028,2999,337,810.3333,True
0,2472.0178,3675.2778,556.6667,522.7222,True
0,1629.4811,3283.2778,305.4444,546.7778,True
0.2778,3029.0283,4138.6111,408.5556,1092.4444,False
0.2778,4898.6267,5471.6111,444.4444,1705.3333,False
0.2222,4089.1911,5154,622.3333,1575.9444,False
0.0556,2553.6689,3702.1111,403.5556,875.4444,True
0,2479.3639,3778.8889,416.7778,1105.8889,True
0,2092.9033,3809.3333,347.4444,693.8333,True
0.3889,3508.1017,3567.1667,441.7778,739.4444,False
0,3760.4111,3957.5556,446.8333,1171.1667,True
0.2778,3939.3883,7074.8333,803.0556,1308.6667,False
0.0556,3993.8828,3857.8889,440.1667,778.1111,False
0.2778,4994.9617,4866.7778,583.7222,1976.5,False
0,1884.0911,3586.0556,401.3333,922.1111,True
0.2778,3935.7444,3215.3889,366.5556,1001.6111,False
